days, cars_request, car1, car2, car3, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
262, 4, 1, 2, 1, 3, 0, 3, 1050, 0, 600
263, 2, 1, 1, 1, 3, 0, 0, 1050, 0, 0
264, 1, 3, 0, 0, 1, 2, 2, 350, 100, 0
265, 3, 2, 2, 1, 3, 0, 1, 1050, 0, 200
266, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
267, 2, 2, 2, 1, 3, 0, 0, 1050, 0, 0
268, 1, 1, 1, 1, 3, 0, 0, 1050, 0, 0
269, 0, 0, 0, 0, 0, 3, 3, 0, 150, 0
270, 0, 0, 0, 0, 0, 3, 3, 0, 150, 0
271, 1, 2, 0, 0, 1, 2, 2, 350, 100, 0
272, 2, 1, 4, 2, 3, 0, 0, 1050, 0, 0
273, 1, 4, 3, 1, 3, 0, 0, 1050, 0, 0
274, 1, 3, 2, 1, 3, 0, 0, 1050, 0, 0
275, 4, 2, 1, 4, 3, 0, 3, 1050, 0, 600
276, 1, 1, 2, 3, 3, 0, 0, 1050, 0, 0
277, 1, 3, 1, 2, 3, 0, 0, 1050, 0, 0
278, 3, 2, 2, 1, 3, 0, 2, 1050, 0, 400
279, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
280, 0, 0, 0, 1, 1, 2, 2, 350, 100, 0
281, 4, 3, 2, 1, 3, 0, 1, 1050, 0, 200
282, 2, 2, 1, 1, 3, 0, 1, 1050, 0, 200
283, 4, 1, 4, 1, 3, 0, 2, 1050, 0, 400
284, 4, 1, 3, 2, 3, 0, 2, 1050, 0, 400
285, 4, 1, 2, 1, 3, 0, 3, 1050, 0, 600
286, 4, 2, 1, 2, 3, 0, 2, 1050, 0, 400
287, 4, 1, 2, 1, 3, 0, 3, 1050, 0, 600
288, 2, 1, 1, 2, 3, 0, 0, 1050, 0, 0
289, 0, 0, 0, 1, 1, 2, 2, 350, 100, 0
290, 4, 1, 1, 1, 3, 0, 1, 1050, 0, 200
291, 4, 1, 3, 2, 3, 0, 1, 1050, 0, 200
292, 3, 2, 2, 1, 3, 0, 2, 1050, 0, 400
293, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
294, 2, 1, 2, 1, 3, 0, 0, 1050, 0, 0
295, 0, 0, 1, 0, 1, 2, 2, 350, 100, 0
296, 2, 1, 1, 0, 2, 1, 1, 700, 50, 0
297, 2, 1, 3, 0, 2, 1, 1, 700, 50, 0
298, 0, 0, 2, 0, 1, 2, 2, 350, 100, 0
299, 4, 3, 1, 2, 3, 0, 2, 1050, 0, 400
300, 3, 2, 2, 1, 3, 0, 2, 1050, 0, 400
301, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
302, 2, 4, 1, 1, 3, 0, 0, 1050, 0, 0
303, 3, 3, 3, 1, 3, 0, 1, 1050, 0, 200
304, 4, 2, 2, 3, 3, 0, 3, 1050, 0, 600
305, 3, 1, 1, 2, 3, 0, 3, 1050, 0, 600
306, 4, 1, 2, 1, 3, 0, 2, 1050, 0, 400
307, 3, 2, 1, 2, 3, 0, 1, 1050, 0, 200
308, 2, 1, 3, 1, 3, 0, 1, 1050, 0, 200
309, 2, 1, 2, 2, 3, 0, 0, 1050, 0, 0
310, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
311, 3, 1, 1, 1, 3, 0, 0, 1050, 0, 0
312, 4, 2, 1, 1, 3, 0, 1, 1050, 0, 200
313, 2, 1, 2, 3, 3, 0, 0, 1050, 0, 0
314, 4, 4, 1, 2, 3, 0, 3, 1050, 0, 600
315, 0, 3, 0, 1, 2, 1, 1, 700, 50, 0
316, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
317, 2, 1, 2, 3, 3, 0, 0, 1050, 0, 0
318, 4, 2, 1, 2, 3, 0, 3, 1050, 0, 600
319, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
320, 2, 2, 1, 0, 2, 1, 1, 700, 50, 0
321, 2, 1, 2, 1, 3, 0, 0, 1050, 0, 0
322, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
323, 3, 4, 2, 1, 3, 0, 1, 1050, 0, 200
324, 2, 3, 1, 1, 3, 0, 1, 1050, 0, 200
325, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
326, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
327, 3, 4, 3, 2, 3, 0, 0, 1050, 0, 0
328, 3, 3, 2, 1, 3, 0, 3, 1050, 0, 600
329, 1, 2, 1, 2, 3, 0, 0, 1050, 0, 0
330, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
331, 4, 3, 3, 3, 3, 0, 1, 1050, 0, 200
332, 2, 2, 2, 2, 3, 0, 2, 1050, 0, 400
333, 4, 1, 1, 1, 3, 0, 4, 1050, 0, 800
334, 3, 2, 1, 1, 3, 0, 0, 1050, 0, 0
335, 4, 1, 1, 2, 3, 0, 2, 1050, 0, 400
336, 1, 3, 0, 1, 2, 1, 1, 700, 50, 0
337, 2, 2, 2, 4, 3, 0, 0, 1050, 0, 0
338, 1, 1, 1, 3, 3, 0, 1, 1050, 0, 200
339, 3, 1, 2, 2, 3, 0, 1, 1050, 0, 200
340, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
341, 4, 1, 2, 2, 3, 0, 1, 1050, 0, 200
342, 4, 2, 1, 1, 3, 0, 3, 1050, 0, 600
343, 2, 1, 2, 3, 3, 0, 0, 1050, 0, 0
344, 2, 3, 1, 2, 3, 0, 1, 1050, 0, 200
345, 3, 2, 1, 1, 3, 0, 2, 1050, 0, 400
346, 4, 1, 4, 2, 3, 0, 2, 1050, 0, 400
347, 2, 3, 3, 1, 3, 0, 1, 1050, 0, 200
348, 1, 2, 2, 1, 3, 0, 0, 1050, 0, 0
349, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
350, 2, 2, 2, 1, 3, 0, 0, 1050, 0, 0
351, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
352, 2, 3, 1, 1, 3, 0, 0, 1050, 0, 0
353, 4, 2, 2, 1, 3, 0, 2, 1050, 0, 400
354, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
355, 1, 3, 0, 1, 2, 1, 1, 700, 50, 0
356, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
357, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
358, 3, 2, 1, 4, 3, 0, 0, 1050, 0, 0
359, 3, 1, 1, 3, 3, 0, 2, 1050, 0, 400
360, 1, 2, 0, 2, 2, 1, 1, 700, 50, 0
361, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
362, 1, 2, 0, 0, 1, 2, 2, 350, 100, 0
363, 3, 1, 2, 4, 3, 0, 1, 1050, 0, 200
364, 2, 2, 1, 3, 3, 0, 1, 1050, 0, 200
365, 3, 1, 3, 2, 3, 0, 2, 1050, 0, 400
