days, cars_request, car1, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
324, 4, 1, 1, 0, 4, 350, 0, 800
325, 4, 1, 1, 0, 3, 350, 0, 600
326, 3, 1, 1, 0, 2, 350, 0, 400
327, 3, 1, 1, 0, 2, 350, 0, 400
328, 1, 4, 1, 0, 0, 350, 0, 0
329, 2, 3, 1, 0, 2, 350, 0, 400
330, 4, 2, 1, 0, 4, 350, 0, 800
331, 3, 1, 1, 0, 3, 350, 0, 600
332, 4, 1, 1, 0, 3, 350, 0, 600
333, 0, 0, 0, 1, 0, 0, 50, 0
334, 3, 4, 1, 0, 2, 350, 0, 400
335, 3, 3, 1, 0, 3, 350, 0, 600
336, 3, 2, 1, 0, 3, 350, 0, 600
337, 1, 1, 1, 0, 1, 350, 0, 200
338, 0, 0, 0, 1, 0, 0, 50, 0
339, 4, 1, 1, 0, 3, 350, 0, 600
340, 2, 1, 1, 0, 1, 350, 0, 200
341, 1, 1, 1, 0, 0, 350, 0, 0
342, 2, 1, 1, 0, 1, 350, 0, 200
343, 1, 1, 1, 0, 0, 350, 0, 0
344, 3, 3, 1, 0, 2, 350, 0, 400
345, 0, 2, 1, 0, 0, 350, 0, 0
346, 2, 1, 1, 0, 2, 350, 0, 400
347, 3, 3, 1, 0, 2, 350, 0, 400
348, 3, 2, 1, 0, 3, 350, 0, 600
349, 2, 1, 1, 0, 2, 350, 0, 400
350, 3, 1, 1, 0, 2, 350, 0, 400
351, 4, 1, 1, 0, 3, 350, 0, 600
352, 3, 1, 1, 0, 2, 350, 0, 400
353, 3, 1, 1, 0, 2, 350, 0, 400
354, 2, 1, 1, 0, 1, 350, 0, 200
355, 4, 1, 1, 0, 3, 350, 0, 600
356, 4, 2, 1, 0, 3, 350, 0, 600
357, 4, 1, 1, 0, 4, 350, 0, 800
358, 2, 2, 1, 0, 1, 350, 0, 200
359, 1, 1, 1, 0, 1, 350, 0, 200
360, 0, 0, 0, 1, 0, 0, 50, 0
361, 4, 1, 1, 0, 3, 350, 0, 600
362, 3, 2, 1, 0, 2, 350, 0, 400
363, 3, 1, 1, 0, 3, 350, 0, 600
364, 1, 1, 1, 0, 0, 350, 0, 0
365, 2, 2, 1, 0, 1, 350, 0, 200
